,round_epochs,val_loss,val_acc,val_custom_iou,loss,acc,custom_iou,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,optimizer,shapes
44,100,0.0079806857084965,0.998020353270512,0.9715414654974844,0.023633695171013765,0.9906909641097573,0.9338956685627208,<function relu at 0x0000019528529730>,32,0.1,100,512,6,adam,triangle
45,100,0.007242655226339896,0.9980203544392305,0.9754226172671598,0.020765740944839576,0.9921756900993048,0.945220479778215,<function relu at 0x0000019528529730>,32,0.1,100,512,6,rmsprop,triangle
46,100,0.06058597776527498,0.9736048018231112,0.8238728502217461,0.0732788390973035,0.9689620908568887,0.7979841337484472,<function relu at 0x0000019528529730>,32,0.1,100,512,8,adam,triangle
47,100,0.058262902585899126,0.9732277334905138,0.8335904011539385,0.07459828608176287,0.968090108796662,0.803991323592616,<function relu at 0x0000019528529730>,32,0.1,100,512,8,rmsprop,triangle
48,50,0.06998945261333503,0.9709652907708112,0.7980772104917788,0.08878419599404522,0.9644372042487649,0.7543588584544612,<function relu at 0x0000019528529730>,32,0.3,50,1024,6,adam,triangle
49,50,0.06612042045476389,0.9717194531478134,0.8125513441422406,0.08731179867012828,0.9632588554831112,0.7666850136775597,<function relu at 0x0000019528529730>,32,0.3,50,1024,6,rmsprop,triangle
50,50,0.12737300246953964,0.9472096527324003,0.632863183816274,0.14061007561052546,0.9429675644519282,0.6033949805241005,<function relu at 0x0000019528529730>,32,0.3,50,1024,8,adam,triangle
51,50,0.16301719259982014,0.933917787729525,0.5427819081381255,0.1630462241523406,0.9328808352059009,0.5426765762123407,<function relu at 0x0000019528529730>,32,0.3,50,1024,8,rmsprop,triangle
52,50,0.08499200773589752,0.9643665143087798,0.7512901425361633,0.10881782074769338,0.9555523991584778,0.6883955936805874,<function relu at 0x0000019528529730>,32,0.3,50,512,6,adam,triangle
53,50,0.07591914458602082,0.9665346811799442,0.7779865218143837,0.09635685289315149,0.9594881183960858,0.7293697280042312,<function relu at 0x0000019528529730>,32,0.3,50,512,6,rmsprop,triangle
54,50,0.16085926808562934,0.9324095062181061,0.5299643254747578,0.16733724287911958,0.9300292145972159,0.5030215183893839,<function relu at 0x0000019528529730>,32,0.3,50,512,8,adam,triangle
55,50,0.14913397852112265,0.9378770601515677,0.5712686192755606,0.15872236238975151,0.9351904181873097,0.5534405655720654,<function relu at 0x0000019528529730>,32,0.3,50,512,8,rmsprop,triangle
56,100,0.04024030406977616,0.9821832425454083,0.8796455334214603,0.06450728012942801,0.9735105481802249,0.826910701452517,<function relu at 0x0000019528529730>,32,0.3,100,1024,6,adam,triangle
57,100,0.03798673791336078,0.9835030004089954,0.8916251998321683,0.06335426892573927,0.9754430429608214,0.8487421075503031,<function relu at 0x0000019528529730>,32,0.3,100,1024,6,rmsprop,triangle
58,100,0.10192706202175103,0.9540912310282389,0.697575751472922,0.1167279674726374,0.951498855562771,0.66870750282325,<function relu at 0x0000019528529730>,32,0.3,100,1024,8,adam,triangle
59,100,0.11463474394644008,0.9490007501022488,0.6743840154479531,0.13112891480034472,0.945795616682838,0.6527669955702389,<function relu at 0x0000019528529730>,32,0.3,100,1024,8,rmsprop,triangle
60,100,0.0597475672907689,0.9745474878479453,0.8170580735393599,0.08219790977298044,0.9667939146359762,0.7737778366780749,<function relu at 0x0000019528529730>,32,0.3,100,512,6,adam,triangle
61,100,0.053349113858797974,0.9789781184757457,0.8427656666905272,0.0791493873385822,0.9660162060868507,0.7920048867954927,<function relu at 0x0000019528529730>,32,0.3,100,512,6,rmsprop,triangle
62,100,0.14896481615655563,0.9365573081315732,0.5600692325947332,0.1550681688914112,0.9347426377090753,0.5438199826315337,<function relu at 0x0000019528529730>,32,0.3,100,512,8,adam,triangle
63,67,0.1651245662394692,0.9317496196896422,0.5310745987237668,0.15513310230830135,0.9339649198102016,0.5568510662106907,<function relu at 0x0000019528529730>,32,0.3,100,512,8,rmsprop,triangle
64,50,0.03272106830834174,0.9875565358236724,0.8876777092615763,0.043140972927943166,0.983479427356346,0.8661566335780948,<function tanh at 0x00000195285297B8>,16,0.1,50,1024,6,adam,triangle
65,32,0.006966243367916083,0.9981146232754576,0.9795544626666051,0.009751305806989252,0.9965591874777102,0.967399397317101,<function tanh at 0x00000195285297B8>,16,0.1,50,1024,6,rmsprop,triangle
66,10,0.2732721152258854,0.913932858728895,0.2637409053596796,0.27891574800014496,0.9146870193528194,0.2665037711461385,<function tanh at 0x00000195285297B8>,16,0.1,50,1024,8,adam,triangle
67,10,0.2759947163217208,0.913932858728895,0.26791201619540944,0.28439969627880585,0.9124010053335452,0.2678724414869851,<function tanh at 0x00000195285297B8>,16,0.1,50,1024,8,rmsprop,triangle
68,35,0.009889329947969493,0.9972662037494135,0.9584214558788374,0.025105069163164087,0.9909266297723732,0.9130689379046945,<function tanh at 0x00000195285297B8>,16,0.1,50,512,6,adam,triangle
69,35,0.0019497749185664397,0.9994343869826373,0.9924171789019716,0.0066272408231252845,0.9977375479305491,0.9754278373484518,<function tanh at 0x00000195285297B8>,16,0.1,50,512,6,rmsprop,triangle
70,8,0.278747371598786,0.9118589536816466,0.2715572936862123,0.2805044303337733,0.9131787226480597,0.26202119360951814,<function tanh at 0x00000195285297B8>,16,0.1,50,512,8,adam,triangle
71,50,0.0034372341800846308,0.999245849310183,0.9852377947639016,0.010645198214322091,0.9966534574826559,0.9664672992977441,<function tanh at 0x00000195285297B8>,16,0.1,50,512,8,rmsprop,triangle
72,100,0.044472149299348104,0.9834087187168645,0.8534011583702237,0.059258728908995785,0.9779411566023734,0.8206881015908485,<function tanh at 0x00000195285297B8>,16,0.1,100,1024,6,adam,triangle
73,75,0.00045474143771080693,0.9998114623275458,0.9985318908504411,0.002011924435547086,0.9993872525645238,0.9951407167257047,<function tanh at 0x00000195285297B8>,16,0.1,100,1024,6,rmsprop,triangle
74,14,0.2824874041127224,0.9001696740879732,0.2674744497327244,0.2789941403795691,0.9143099440079109,0.26642140249411267,<function tanh at 0x00000195285297B8>,16,0.1,100,1024,8,adam,triangle
75,31,0.2796296290322846,0.913932858728895,0.28668656010253757,0.2839502166299259,0.9128252180183635,0.2652243955754766,<function tanh at 0x00000195285297B8>,16,0.1,100,1024,8,rmsprop,triangle
76,78,0.0028721332257869198,0.9993401181464102,0.9882493264534894,0.00971350851343196,0.9968891284045052,0.9636841930595099,<function tanh at 0x00000195285297B8>,16,0.1,100,512,6,adam,triangle
77,92,8.13344790021445e-05,1.0,0.9996029886544919,0.002714428624344959,0.999033744428672,0.9915702781256508,<function tanh at 0x00000195285297B8>,16,0.1,100,512,6,rmsprop,triangle
78,37,0.24512843583144395,0.9106334798476275,0.33421345376500894,0.24557483839053734,0.9144984869395986,0.32807940566072274,<function tanh at 0x00000195285297B8>,16,0.1,100,512,8,adam,triangle
79,93,0.0006881012588707438,0.9998114623275458,0.9978266755739847,0.005641143075027845,0.9982560265297983,0.9851612144825506,<function tanh at 0x00000195285297B8>,16,0.1,100,512,8,rmsprop,triangle
80,50,0.19579301745283836,0.9271304584016987,0.41627510564,0.20457248199804157,0.9265177133036595,0.412548971526763,<function tanh at 0x00000195285297B8>,16,0.3,50,1024,6,adam,triangle
81,50,0.002695031822476463,0.9993401181464102,0.9890885540083343,0.01755191107947087,0.9941317661135805,0.9515678882598877,<function tanh at 0x00000195285297B8>,16,0.3,50,1024,6,rmsprop,triangle
82,10,0.28756956726897,0.913932858728895,0.3015236071511811,0.2994052384998284,0.9081589269871805,0.2626354123155276,<function tanh at 0x00000195285297B8>,16,0.3,50,1024,8,adam,triangle
83,43,0.20791719532480427,0.9275075290717331,0.4388496507616604,0.20594738482260236,0.92849735009904,0.42365002164653703,<function tanh at 0x00000195285297B8>,16,0.3,50,1024,8,rmsprop,triangle
84,50,0.029128481469610158,0.9901017780397453,0.8990155925937727,0.06533007033388405,0.9750424039130118,0.8087712140644298,<function tanh at 0x00000195285297B8>,16,0.3,50,512,6,adam,triangle
85,50,0.011388746199800688,0.9963235153871424,0.9588405653542164,0.042786596260745734,0.9841157402478012,0.8801528349810955,<function tanh at 0x00000195285297B8>,16,0.3,50,512,6,rmsprop,triangle
86,21,0.21948806211060168,0.9225112994511923,0.36404651870914534,0.2247690945571544,0.921003008590025,0.3501487876854691,<function tanh at 0x00000195285297B8>,16,0.3,50,512,8,adam,triangle
87,50,0.05152720424766634,0.9812405600267298,0.8380506973640591,0.09073925580756337,0.9664404117593578,0.7480813276533987,<function tanh at 0x00000195285297B8>,16,0.3,50,512,8,rmsprop,triangle
88,92,0.03090731558554313,0.9875565334862354,0.8949770565126457,0.06135002498094942,0.9765742725017024,0.832523678447686,<function tanh at 0x00000195285297B8>,16,0.3,100,1024,6,adam,triangle
89,100,0.00037749053419746834,0.9998114623275458,0.9984722862056657,0.009985410688672097,0.9969126956135619,0.9776572111774894,<function tanh at 0x00000195285297B8>,16,0.3,100,1024,6,rmsprop,triangle
90,17,0.26929333104806785,0.913932858728895,0.26924675936792414,0.2845708875387323,0.9139800019123975,0.26424577335516614,<function tanh at 0x00000195285297B8>,16,0.3,100,1024,8,adam,triangle
91,100,0.1158404848447033,0.9620097898969463,0.6844471506043976,0.13715854513586737,0.9546097195615956,0.6355980839215073,<function tanh at 0x00000195285297B8>,16,0.3,100,1024,8,rmsprop,triangle
92,100,0.018306994253732993,0.9937782591464472,0.9316716872009576,0.04929265753347792,0.9814526596490074,0.8544505513181874,<function tanh at 0x00000195285297B8>,16,0.3,100,512,6,adam,triangle
93,100,0.004230070142440644,0.9987745051290474,0.9856295515509212,0.030726476878329526,0.9897482821754381,0.9231473803520203,<function tanh at 0x00000195285297B8>,16,0.3,100,512,6,rmsprop,triangle
94,100,0.1742092292098438,0.9400452352037617,0.4794792614731134,0.1812886397774313,0.9356381846409217,0.45626551029728907,<function tanh at 0x00000195285297B8>,16,0.3,100,512,8,adam,triangle
95,100,0.039272225151459374,0.986331047965031,0.8797282681745642,0.06983297652400591,0.9743118274445627,0.8053536350820579,<function tanh at 0x00000195285297B8>,16,0.3,100,512,8,rmsprop,triangle
96,29,0.005722371651334506,0.9984916974516476,0.9732747884357676,0.009067307945395656,0.9973604737543592,0.9606071652150622,<function tanh at 0x00000195285297B8>,32,0.1,50,1024,6,adam,triangle
97,41,0.0013713581343729269,0.9997171934913186,0.9941540430573856,0.00520229601962081,0.9986095346656501,0.9859406901340858,<function tanh at 0x00000195285297B8>,32,0.1,50,1024,6,rmsprop,triangle
98,8,0.27109085169492986,0.9139328610663321,0.25512223442395526,0.27760137004010815,0.9143099422548332,0.2679205940050237,<function tanh at 0x00000195285297B8>,32,0.1,50,1024,8,adam,triangle
99,15,0.2740320610065086,0.9139328610663321,0.26653200329518784,0.2794898622760586,0.9141685343256184,0.2655939708153407,<function tanh at 0x00000195285297B8>,32,0.1,50,1024,8,rmsprop,triangle
100,32,0.014650486957500963,0.9955693682034811,0.9444731649230508,0.022020299736337335,0.99257633265327,0.9178677470076317,<function tanh at 0x00000195285297B8>,32,0.1,50,512,6,adam,triangle
101,46,0.0006959391726459394,0.9997171934913186,0.9969620809835547,0.004226073698031113,0.9985859674565932,0.9822614566952574,<function tanh at 0x00000195285297B8>,32,0.1,50,512,6,rmsprop,triangle
102,50,0.13125653375013202,0.9532428313704098,0.6143865363270629,0.1392354786980386,0.9519466325348499,0.5778642320165447,<function tanh at 0x00000195285297B8>,32,0.1,50,512,8,adam,triangle
