round_epochs,val_loss,val_custom_iou,loss,custom_iou,activation,batch_size,dropout,epochs,first_neuron,hidden_layers,last_activation,lr,optimizer,shapes
50,0.26943107036983266,0.24656610366176157,0.27883433711295036,0.24536618707226773,relu,64,0.25,50,512,4,sigmoid,0.001,SGD,triangle
8,0.26507174910283554,0.263012803068348,0.23671838641166687,0.3330985938801485,relu,64,0.25,50,512,6,sigmoid,0.001,Adam,brick
6,0.27316684991705653,0.24060657678865918,0.24242189643429776,0.3188907194371317,relu,64,0.25,50,512,6,sigmoid,0.001,Adam,triangle
50,0.26996129634333593,0.24582214916453643,0.2783883389304666,0.2420877136436163,relu,64,0.25,50,512,6,sigmoid,0.001,SGD,brick
50,0.27054719889865203,0.2439898871908001,0.28204112134727777,0.23978198626462152,relu,64,0.25,50,512,6,sigmoid,0.001,SGD,triangle
9,0.4140135873766506,0.3338449275961109,0.07714059401084394,0.7016089383293601,relu,64,0.25,50,256,2,sigmoid,0.001,Adam,brick
8,0.2905723551909129,0.29604588478219274,0.17133798786238127,0.4381187359491984,relu,64,0.25,50,256,2,sigmoid,0.001,Adam,triangle
50,0.2858984482054617,0.2209816957805671,0.2955687303169101,0.2186090873152602,relu,64,0.25,50,256,2,sigmoid,0.001,SGD,brick
50,0.3027469176872104,0.2064790401388617,0.31953473418366674,0.20283007388021432,relu,64,0.25,50,256,2,sigmoid,0.001,SGD,triangle
8,0.301247775554657,0.2817435685326071,0.19336998521112927,0.432798342961891,relu,64,0.25,50,256,4,sigmoid,0.001,Adam,brick
11,0.3181703739306506,0.28865061729562047,0.1686918852376003,0.4842103170413597,relu,64,0.25,50,256,4,sigmoid,0.001,Adam,triangle
50,0.276762023860333,0.23510810236136118,0.2887947921659432,0.2319296005309797,relu,64,0.25,50,256,4,sigmoid,0.001,SGD,brick
50,0.26987189580412474,0.24905137688505882,0.2858790024822834,0.24667382649346895,relu,64,0.25,50,256,4,sigmoid,0.001,SGD,triangle
7,0.2672179662713818,0.25905349149423484,0.24101413581885545,0.3251196712839837,relu,64,0.25,50,256,6,sigmoid,0.001,Adam,brick
7,0.2789260785953671,0.2349973429067462,0.24410528996411493,0.31841497386203094,relu,64,0.25,50,256,6,sigmoid,0.001,Adam,triangle
50,0.2779835655408747,0.23141905928359313,0.2899165439839457,0.2270031735008838,relu,64,0.25,50,256,6,sigmoid,0.001,SGD,brick
50,0.3293548121171839,0.18848545206528083,0.3477425540194792,0.18545288899365595,relu,64,0.25,50,256,6,sigmoid,0.001,SGD,triangle
12,0.6129999207515343,0.35084233272309395,0.020269386799019927,0.9130397579249214,relu,64,0.25,80,512,2,sigmoid,0.001,Adam,brick
11,0.4938374301966499,0.33999140122357535,0.05141945796854356,0.7954241995717964,relu,64,0.25,80,512,2,sigmoid,0.001,Adam,triangle
